,movie_name,movie,opening,date_time,theaters,tot_gross,actors,directors
139,Tammy,Tammy,"$21,577,049",2014-07-02,"3,465","$84,525,432","['Melissa McCarthy', 'Susan Sarandon', 'Kathy Bates', 'Mark Duplass', 'Toni Collette', 'Allison Janney']",[]
140,Annabelle,Annabelle,"$37,134,255",2014-10-03,"3,185","$84,273,813",[],['John R. Leonetti']
141,The Other Woman (2014),The Other Woman,"$24,763,752",2014-04-25,"3,205","$83,911,193","['Cameron Diaz', 'Leslie Mann', 'Kate Upton', 'Nicki Minaj']",['Nick Cassavetes']
142,Penguins of Madagascar,Penguins of Madagascar,"$25,447,444",2014-11-26,"3,764","$83,350,911","['Benedict Cumberbatch', 'John Malkovich']","['Eric Darnell', 'Simon J. Smith']"
143,Let's Be Cops,Let's Be Cops,"$17,813,722",2014-08-13,"3,094","$82,390,774","['Jake Johnson', 'Rob Riggle']",['Luke Greenfield']
144,The Monuments Men,The Monuments Men,"$22,003,433",2014-02-07,"3,083","$78,031,620","['George Clooney', 'Matt Damon', 'Bill Murray', 'Cate Blanchett', 'John Goodman']",['George Clooney']
145,Hercules (2014),Hercules,"$29,800,263",2014-07-25,"3,595","$72,688,614","['Rebecca Ferguson', 'Dwayne Johnson', 'Rufus Sewell']",['Brett Ratner']
146,The Purge: Anarchy,The Purge: Anarchy,"$29,816,675",2014-07-18,"2,805","$71,962,800","['Michael K. Williams', 'Frank Grillo']",['James DeMonaco']
147,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day","$18,360,230",2014-10-10,"3,088","$66,954,149","['Steve Carell', 'Jennifer Garner', 'Bella Thorne', 'Jennifer Coolidge']",['Miguel Arteta']
148,Think Like a Man Too,Think Like a Man Too,"$29,241,911",2014-06-20,"2,225","$65,182,182","['Michael Ealy', 'Regina Hall', 'Taraji P. Henson', 'Kevin Hart']",['Tim Story']
149,Exodus: Gods and Kings,Exodus: Gods and Kings,"$24,115,934",2014-12-12,"3,503","$65,014,513","['Ewen Bremner', 'Christian Bale', 'Sigourney Weaver', 'Ben Kingsley']",['Ridley Scott']
150,The Nut Job,The Nut Job,"$19,423,000",2014-01-17,"3,427","$64,251,541","['Brendan Fraser', 'Liam Neeson', 'Katherine Heigl']",['Peter Lepeniotis']
151,God's Not Dead,God's Not Dead,"$9,217,013",2014-03-21,780,"$60,755,732",,[]
152,Son of God,Son of God,"$25,601,865",2014-02-28,"3,260","$59,700,064",,['Christopher Spencer']
153,The Grand Budapest Hotel,The Grand Budapest Hotel,"$811,166",2014-03-07,4,"$59,301,324","['Mathieu Amalric', 'Ralph Fiennes', 'Adrien Brody', 'Willem Dafoe', 'Jeff Goldblum', 'Jude Law', 'Bill Murray', 'Edward Norton', 'Saoirse Ronan', 'Jason Schwartzman', 'Tilda Swinton', 'Tom Wilkinson', 'Owen Wilson']",['Wes Anderson']
154,Planes: Fire & Rescue,Planes: Fire & Rescue,"$17,509,407",2014-07-18,"3,826","$59,165,787",['Ed Harris'],[]
155,RoboCop (2014),RoboCop,"$21,681,430",2014-02-12,"3,372","$58,607,007","['Michael K. Williams', 'Gary Oldman', 'Michael Keaton', 'Abbie Cornish', 'Jackie Earle Haley', 'Jay Baruchel', 'Samuel L. Jackson']",['Jose Padilha']
156,Dracula Untold,Dracula Untold,"$23,514,615",2014-10-10,"2,885","$56,280,355","['Luke Evans', 'Dominic Cooper']",['Gary Shore']
157,Horrible Bosses 2,Horrible Bosses 2,"$15,457,418",2014-11-26,"3,375","$54,445,357","['Jason Bateman', 'Charlie Day', 'Jason Sudeikis', 'Jennifer Aniston', 'Kevin Spacey', 'Jamie Foxx', 'Christoph Waltz', 'Chris Pine']",['Sean Anders']
158,The Hundred-Foot Journey,The Hundred-Foot Journey,"$10,979,290",2014-08-08,"2,023","$54,240,821",['Helen Mirren'],['Lasse Hallstrom']
159,No Good Deed (2014),No Good Deed,"$24,250,283",2014-09-12,"2,175","$52,543,632","['Idris Elba', 'Taraji P. Henson']",['Sam Miller']
160,Selma,Selma,"$571,450",2014-12-25,19,"$52,076,908","['Tessa Thompson', 'David Oyelowo', 'Tom Wilkinson', 'Giovanni Ribisi', 'Oprah Winfrey', 'Common', 'Cuba Gooding, Jr.*']",['Ava DuVernay']
161,Muppets Most Wanted,Muppets Most Wanted,"$17,005,126",2014-03-21,"3,194","$51,183,113","['Ricky Gervais', 'Ty Burrell', 'Tina Fey', 'Jemaine Clement']",[]
162,Ouija,Ouija,"$19,875,995",2014-10-24,"2,858","$50,856,010",,['Stiles White']
163,The Boxtrolls,The Boxtrolls,"$17,275,239",2014-09-26,"3,464","$50,837,305","['Ben Kingsley', 'Toni Collette', 'Elle Fanning', 'Jared Harris', 'Simon Pegg', 'Nick Frost', 'Tracy Morgan']","['Graham Annable', 'Anthony Stacchi']"
164,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,"$15,451,981",2014-01-17,"3,387","$50,577,412","['Chris Pine', 'Keira Knightley', 'Kevin Costner', 'Kenneth Branagh']",['Kenneth Branagh']
165,If I Stay,If I Stay,"$15,679,190",2014-08-22,"2,907","$50,474,843","['Chloe Moretz', 'Mireille Enos']",['R.J. Cutler']
166,The Book of Life (2014),The Book of Life,"$17,005,218",2014-10-17,"3,071","$50,151,543","['Eugenio Derbez', 'Diego Luna', 'Zoe Saldana', 'Channing Tatum', 'Christina Applegate', 'Ron Perlman', 'Ice Cube']",['Jorge R. Gutierrez']
167,About Last Night (2014),About Last Night,"$25,649,011",2014-02-14,"2,253","$48,637,684","['Kevin Hart', 'Michael Ealy', 'Regina Hall', 'Paula Patton']",['Steve Pink']
168,Into The Storm,Into The Storm,"$17,346,427",2014-08-08,"3,434","$47,602,194",['Jeremy Sumpter'],['Steven Quale']
169,The Judge,The Judge,"$13,116,226",2014-10-10,"3,003","$47,119,388","['Robert Downey, Jr.', 'Robert Duvall', 'Vera Farmiga', 'Billy Bob Thornton', 'Leighton Meester']",['David Dobkin']
170,Jersey Boys,Jersey Boys,"$13,319,371",2014-06-20,"2,905","$47,047,013",,['Clint Eastwood']
171,Blended,Blended,"$14,284,031",2014-05-23,"3,555","$46,294,610","['Adam Sandler', 'Drew Barrymore', 'Bella Thorne']",['Frank Coraci']
172,The Giver,The Giver,"$12,305,016",2014-08-15,"3,003","$45,090,374","['Jeff Bridges', 'Meryl Streep', 'Brenton Thwaites', 'Alexander Skarsgård', 'Katie Holmes']",['Phillip Noyce']
173,St. Vincent,St. Vincent,"$109,878",2014-10-10,4,"$44,137,712","['Naomi Watts', 'Melissa McCarthy', 'Bill Murray', 'Terrence Howard']",['Theodore Melfi']
174,Need for Speed,Need for Speed,"$17,844,939",2014-03-14,"3,115","$43,577,636","['Imogen Poots', 'Dominic Cooper', 'Scott Mescudi', 'Michael Keaton']",['Scott Waugh']
175,A Million Ways to Die in the West,A Million Ways to Die in the West,"$16,797,385",2014-05-30,"3,158","$43,139,300","['Seth MacFarlane', 'Charlize Theron', 'Liam Neeson', 'Amanda Seyfried', 'Giovanni Ribisi', 'Neil Patrick Harris']",['Seth MacFarlane']
176,John Wick,John Wick,"$14,415,922",2014-10-24,"2,589","$43,037,835","['Keanu Reeves', 'Adrianne Palicki', 'Willem Dafoe', 'Michael Nyqvist', 'Bridget Moynahan', 'Lance Reddick']","['David Leitch', 'Chad Stahelski']"
