Zip,Median,Median_adjusted,Mean
12093,"47,590","53,301","54,964"
12094,"56,949","63,783","71,154"
12095,"46,267","51,819","58,284"
12106,"60,180","67,401","74,511"
12108,"44,048","49,334","69,704"
12110,"74,237","83,145","90,547"
12115,"75,954","85,068","113,441"
12116,"44,214","49,520","53,818"
12117,"45,955","51,470","54,147"
12118,"58,015","64,977","68,627"
12120,"61,628","69,024","66,981"
12121,"65,702","73,586","74,543"
12122,"55,065","61,673","64,134"
12123,"58,221","65,207","71,482"
12124,"56,094","62,825","69,468"
12125,"59,688","66,851","74,234"
12130,"75,433","84,485","87,645"
12131,"47,545","53,250","55,838"
12132,"75,954","85,068","113,441"
12134,"47,134","52,790","55,275"
12136,"75,934","85,047","113,266"
12137,"69,406","77,735","77,047"
12138,"56,466","63,241","63,572"
12139,"44,048","49,334","69,704"
12140,"78,045","87,410","78,198"
12143,"57,698","64,621","66,552"
12144,"59,477","66,614","70,710"
12147,"62,738","70,266","68,071"
12148,"99,306","111,223","107,515"
12149,"44,630","49,985","52,724"
12150,"56,042","62,767","70,548"
12151,"70,493","78,952","84,491"
12153,"67,481","75,579","76,898"
12154,"70,630","79,106","76,250"
12155,"41,541","46,526","49,133"
12156,"78,979","88,456","87,687"
12157,"56,295","63,050","69,473"
12158,"79,794","89,369","89,751"
12159,"83,622","93,657","100,973"
12160,"24,429","27,361","31,410"
12161,"90,136","100,952","104,261"
12164,"44,048","49,334","69,704"
12165,"66,413","74,383","96,306"
12166,"54,270","60,782","64,962"
12167,"30,899","34,607","34,596"
12168,"63,718","71,364","71,874"
12169,"63,107","70,680","72,567"
12170,"66,139","74,075","76,026"
12172,"51,250","57,400","61,285"
12173,"52,586","58,897","67,604"
12174,"53,264","59,656","70,809"
12175,"45,878","51,384","54,086"
12176,"43,058","48,225","53,813"
12177,"52,174","58,435","62,174"
12180,"43,270","48,463","56,554"
12182,"34,651","38,809","42,860"
12183,"51,417","57,587","57,344"
12184,"72,879","81,625","90,122"
12185,"57,210","64,075","71,409"
12186,"75,527","84,590","96,584"
12187,"44,480","49,817","54,901"
12188,"62,862","70,405","72,914"
12189,"51,612","57,805","61,486"
12190,"49,231","55,139","63,180"
12192,"54,889","61,475","67,902"
12193,"64,792","72,567","71,008"
12194,"47,545","53,250","55,838"
12195,"59,688","66,851","74,234"
12196,"73,424","82,234","85,711"
12197,"44,186","49,488","52,464"
12198,"69,252","77,562","79,794"
12202,"30,074","33,683","40,534"
12203,"52,240","58,509","65,318"
12204,"52,330","58,609","74,573"
12205,"62,986","70,545","78,551"
12206,"29,384","32,910","39,183"
12207,"21,287","23,842","28,874"
12208,"51,134","57,270","65,534"
12209,"55,024","61,627","61,516"
12210,"30,598","34,269","43,876"
12211,"75,955","85,070","97,674"
12222,"69,271","77,584","77,839"
12302,"70,228","78,655","77,683"
12303,"63,694","71,337","71,259"
12304,"42,509","47,610","53,980"
12305,"29,049","32,535","35,929"
12306,"59,267","66,379","66,852"
12307,"30,340","33,981","35,032"
12308,"45,308","50,745","55,527"
12309,"85,500","95,760","103,583"
12401,"50,558","56,625","63,156"
12404,"60,222","67,449","68,945"
12405,"43,150","48,328","51,233"
12406,"45,814","51,312","54,279"
12407,"43,233","48,421","53,489"
12409,"60,089","67,300","90,820"
12410,"45,651","51,129","59,713"
12411,"59,329","66,448","68,979"
12412,"53,186","59,568","81,720"
12413,"44,042","49,327","56,898"
12414,"38,297","42,893","54,082"
12416,"43,467","48,683","58,541"
12417,"62,875","70,420","73,425"
12418,"49,961","55,956","56,116"
12419,"65,736","73,625","77,165"
12420,"51,000","57,120","61,593"
12421,"52,860","59,203","57,442"
12422,"49,961","55,956","56,116"
12423,"49,961","55,956","56,116"
12424,"42,656","47,775","58,063"
12427,"35,286","39,520","43,167"
12428,"42,583","47,693","49,840"
12429,"67,303","75,379","84,728"
12430,"45,113","50,527","54,301"
12431,"44,341","49,662","58,550"
12432,"54,554","61,100","76,378"
12433,"63,387","70,993","78,656"
12434,"53,308","59,705","57,690"
12435,"47,813","53,551","58,208"
12436,"35,286","39,520","43,167"
12438,"45,461","50,916","53,354"
12439,"43,259","48,450","54,024"
12440,"67,414","75,504","81,922"
12441,"47,072","52,721","57,576"
12442,"37,162","41,622","46,960"
12443,"70,824","79,323","91,055"
12444,"42,656","47,775","58,063"
12446,"54,539","61,083","61,423"
12448,"60,089","67,300","90,820"
12449,"51,943","58,176","67,579"
12450,"35,286","39,520","43,167"
12451,"40,910","45,819","59,779"
12452,"42,656","47,775","58,063"
12453,"56,336","63,096","72,364"
12454,"43,233","48,421","53,489"
12455,"45,253","50,684","53,657"
12456,"53,705","60,150","73,654"
12457,"50,272","56,305","71,756"
12458,"50,798","56,894","59,074"
12459,"45,882","51,388","53,587"
12460,"49,961","55,956","56,116"
12461,"53,553","59,979","82,596"
12463,"38,445","43,058","60,104"
12464,"43,467","48,683","58,541"
12465,"48,275","54,068","60,727"
12466,"62,875","70,420","73,425"
12468,"44,002","49,282","54,666"
12469,"60,515","67,777","66,308"
12470,"42,083","47,133","50,468"
12471,"67,303","75,379","84,728"
12472,"56,997","63,837","69,160"
12473,"42,083","47,133","50,468"
12474,"53,308","59,705","57,690"
12475,"56,622","63,416","73,343"
12477,"55,247","61,877","71,384"
12480,"43,836","49,096","58,736"
12481,"53,553","59,979","82,596"
12482,"42,289","47,364","64,095"
12483,"50,209","56,234","61,037"
12484,"81,391","91,158","97,782"
12485,"35,286","39,520","43,167"
12486,"54,844","61,425","70,223"
12487,"66,903","74,932","83,707"
12489,"52,789","59,124","61,608"
12490,"56,336","63,096","72,364"
12491,"66,125","74,060","83,057"
12492,"42,656","47,775","58,063"
12493,"67,303","75,379","84,728"
12494,"53,553","59,979","82,596"
12495,"60,089","67,300","90,820"
12496,"43,233","48,421","53,489"
12498,"60,921","68,232","86,527"
12501,"46,316","51,874","70,449"
12502,"63,828","71,487","88,555"
12503,"59,844","67,025","85,130"
12504,"61,250","68,600","78,492"
12507,"61,250","68,600","78,492"
12508,"59,870","67,054","64,963"
12512,"70,000","78,400","92,060"
12513,"52,857","59,200","78,372"
12514,"77,190","86,453","101,915"
12515,"57,001","63,841","69,517"
12516,"68,886","77,153","104,991"
12517,"68,929","77,200","105,085"
12518,"75,280","84,313","94,155"
12520,"83,233","93,221","100,218"
12521,"63,482","71,100","93,115"
12522,"60,821","68,120","74,118"
12523,"55,006","61,607","71,717"
12524,"69,062","77,350","78,091"
12525,"79,216","88,722","94,264"
12526,"56,052","62,778","76,084"
12527,"65,583","73,453","72,945"
12528,"61,291","68,646","77,797"
12529,"54,579","61,129","92,372"
12530,"52,857","59,200","78,372"
12531,"94,979","106,376","107,909"
12533,"95,653","107,131","112,999"
12534,"43,950","49,224","61,726"
12538,"68,602","76,835","81,616"
12540,"89,946","100,739","106,912"
12542,"63,864","71,527","78,159"
12543,"67,082","75,132","69,663"
12545,"62,676","70,197","95,788"
12546,"57,569","64,477","70,155"
12547,"63,344","70,945","77,675"
12548,"55,703","62,388","67,273"
12549,"74,230","83,137","83,234"
12550,"55,352","61,995","68,517"
12553,"72,767","81,499","82,683"
12561,"63,333","70,932","82,856"
12563,"82,870","92,815","96,541"
12564,"74,941","83,934","101,434"
12565,"52,857","59,200","78,372"
12566,"77,388","86,675","85,040"
12567,"60,962","68,277","74,749"
12569,"87,412","97,901","100,172"
12570,"88,127","98,702","101,334"
12571,"72,020","80,662","88,011"
12572,"67,659","75,778","95,402"
12574,"62,917","70,467","85,640"
12575,"89,614","100,367","96,766"
12577,"83,153","93,132","94,584"
12578,"85,523","95,786","99,917"
12580,"73,532","82,356","96,701"
12581,"67,132","75,187","86,298"
12582,"94,916","106,306","115,812"
12583,"64,982","72,780","81,869"
12585,"82,278","92,151","99,885"
12586,"65,019","72,821","74,133"
12589,"72,921","81,671","82,497"
12590,"77,749","87,079","87,930"
12592,"45,834","51,334","70,624"
12594,"69,058","77,344","77,505"
12601,"47,533","53,237","60,335"
12603,"79,125","88,620","90,410"
12604,"78,448","87,862","80,617"
12701,"33,985","38,063","47,488"
12719,"51,122","57,256","68,521"
12720,"55,659","62,338","66,198"
12721,"63,712","71,358","75,558"
12722,"58,125","65,100","69,905"
12723,"54,346","60,867","66,459"
12724,"52,182","58,444","55,567"
12725,"29,960","33,556","37,847"
12726,"57,405","64,294","67,130"
12729,"47,321","53,000","61,871"
12732,"51,416","57,585","69,092"
12733,"47,339","53,019","56,544"
12734,"40,170","44,990","52,759"
12736,"59,650","66,808","68,640"
12737,"48,011","53,772","62,473"
12738,"54,998","61,597","68,203"
