,Datetime,Zone,actual,pred
326,2015-06-23 03:00:00,Greenwich Village,14.0,7.7166047
327,2015-06-23 03:00:00,Harlem,13.0,7.57840704
328,2015-06-23 03:00:00,Inwood,2.0,0.76491445
329,2015-06-23 03:00:00,Jackson Heights,5.0,1.405044
330,2015-06-23 03:00:00,Jamaica,1.0,0.8229902
331,2015-06-23 03:00:00,Jamaica Hills,2.0,0.8880688
332,2015-06-23 03:00:00,John F. Kennedy International Airport,0.0,15.436606
333,2015-06-23 03:00:00,Kensington,2.0,0.5000299
334,2015-06-23 03:00:00,Kew Gardens,1.0,0.45108230000000005
335,2015-06-23 03:00:00,Kew Gardens Hills,1.0,1.004629
336,2015-06-23 03:00:00,Kips Bay,2.0,3.5823832
337,2015-06-23 03:00:00,LaGuardia Airport,0.0,4.711847
338,2015-06-23 03:00:00,Little Italy,2.0,5.4944267
339,2015-06-23 03:00:00,Long Island City,2.0,3.33049015
340,2015-06-23 03:00:00,Lower East Side,9.0,9.784309
341,2015-06-23 03:00:00,Marine Park,3.0,0.20571649
342,2015-06-23 03:00:00,Maspeth,1.0,0.8435041999999999
343,2015-06-23 03:00:00,Middle Village,0.0,0.45929143
344,2015-06-23 03:00:00,Midtown,100.0,38.24590719999999
345,2015-06-23 03:00:00,Midwood,0.0,0.39887649999999997
346,2015-06-23 03:00:00,Morningside Heights,1.0,2.0581708
347,2015-06-23 03:00:00,Murray Hill,4.0,5.774628
348,2015-06-23 03:00:00,Navy Yard,0.0,0.38664445
349,2015-06-23 03:00:00,North Riverdale,0.0,0.41599667
350,2015-06-23 03:00:00,Park Slope,8.0,3.2273557
351,2015-06-23 03:00:00,Port Morris,1.0,0.93933696
352,2015-06-23 03:00:00,Prospect Heights,1.0,1.5826659
353,2015-06-23 03:00:00,Prospect-Lefferts Gardens,2.0,1.5149901000000001
354,2015-06-23 03:00:00,Red Hook,1.0,0.5354704
355,2015-06-23 03:00:00,Rego Park,0.0,0.58038807
356,2015-06-23 03:00:00,Richmond Hill,0.0,0.57724345
357,2015-06-23 03:00:00,Ridgewood,1.0,1.3007681
358,2015-06-23 03:00:00,Sheepshead Bay,0.0,0.22106424
359,2015-06-23 03:00:00,SoHo,12.0,5.6937187
360,2015-06-23 03:00:00,South Ozone Park,2.0,0.5266261999999999
361,2015-06-23 03:00:00,Spuyten Duyvil,0.0,0.43248358
362,2015-06-23 03:00:00,Stuyvesant Town,3.0,1.9930188999999998
363,2015-06-23 03:00:00,Sunnyside,6.0,1.9130175
364,2015-06-23 03:00:00,Sunset Park,3.0,1.8196018
365,2015-06-23 03:00:00,Theater District,20.0,10.910061
366,2015-06-23 03:00:00,Two Bridges,1.0,2.017134
367,2015-06-23 03:00:00,Upper East Side,23.0,15.981743699999997
368,2015-06-23 03:00:00,Upper West Side,18.0,16.5658923
369,2015-06-23 03:00:00,Vinegar Hill,1.0,1.2223928
370,2015-06-23 03:00:00,Washington Heights,8.0,4.1589022
371,2015-06-23 03:00:00,West Village,23.0,13.152224799999999
372,2015-06-23 03:00:00,Williamsburg,32.0,23.635882699999996
373,2015-06-23 03:00:00,Windsor Terrace,0.0,0.61039233
374,2015-06-23 03:00:00,Woodhaven,1.0,0.45630878
375,2015-06-23 03:00:00,Woodside,1.0,1.6724131000000002
376,2015-06-23 04:00:00,Astoria,14.0,7.919735299999999
377,2015-06-23 04:00:00,Battery Park City,15.0,5.3027024
378,2015-06-23 04:00:00,Bay Ridge,3.0,1.3847013000000001
379,2015-06-23 04:00:00,Bayside,0.0,0.64733785
380,2015-06-23 04:00:00,Bedford-Stuyvesant,12.0,7.74795387
381,2015-06-23 04:00:00,Belmont,0.0,0.31752179999999997
382,2015-06-23 04:00:00,Bensonhurst,0.0,0.271904
383,2015-06-23 04:00:00,Boerum Hill,4.0,3.3704782
384,2015-06-23 04:00:00,Borough Park,2.0,0.47159904
385,2015-06-23 04:00:00,Brooklyn Heights,1.0,3.3508599
386,2015-06-23 04:00:00,Brownsville,1.0,0.64566356
387,2015-06-23 04:00:00,Bushwick,13.0,11.199627
388,2015-06-23 04:00:00,Canarsie,1.0,1.0420668
389,2015-06-23 04:00:00,Carroll Gardens,0.0,1.6500098
390,2015-06-23 04:00:00,Central Park,0.0,0.48270938
391,2015-06-23 04:00:00,Chelsea,15.0,20.733541
392,2015-06-23 04:00:00,Chinatown,1.0,2.0139513
393,2015-06-23 04:00:00,Civic Center,13.0,10.487375
394,2015-06-23 04:00:00,Clinton Hill,25.0,17.875026599999998
395,2015-06-23 04:00:00,Cobble Hill,1.0,1.1226562
396,2015-06-23 04:00:00,Columbia St,1.0,0.2732907
397,2015-06-23 04:00:00,Concourse,1.0,0.33662343
398,2015-06-23 04:00:00,Corona,0.0,0.63967705
399,2015-06-23 04:00:00,Crown Heights,11.0,5.7045466000000005
400,2015-06-23 04:00:00,Ditmars Steinway,5.0,3.3291812000000007
401,2015-06-23 04:00:00,Downtown Brooklyn,2.0,3.008143
402,2015-06-23 04:00:00,Dyker Heights,2.0,0.36397734
403,2015-06-23 04:00:00,East Elmhurst,2.0,0.7100291
404,2015-06-23 04:00:00,East Flatbush,0.0,1.92380529
405,2015-06-23 04:00:00,East Harlem,6.0,4.7556342
406,2015-06-23 04:00:00,East New York,0.0,0.59156746
407,2015-06-23 04:00:00,East Village,22.0,19.5426714
408,2015-06-23 04:00:00,Elmhurst,2.0,2.48968805
409,2015-06-23 04:00:00,Financial District,10.0,10.012988900000002
410,2015-06-23 04:00:00,Flatbush,4.0,2.9733534
411,2015-06-23 04:00:00,Flatiron District,9.0,8.281812
412,2015-06-23 04:00:00,Flatlands,0.0,1.1566807
413,2015-06-23 04:00:00,Flushing,2.0,1.5930102
414,2015-06-23 04:00:00,Forest Hills,4.0,3.1025560000000003
415,2015-06-23 04:00:00,Fort Greene,3.0,2.9585476
416,2015-06-23 04:00:00,Glendale,2.0,0.5165447
417,2015-06-23 04:00:00,Gowanus,3.0,0.90363616
418,2015-06-23 04:00:00,Gramercy,14.0,13.8169327
419,2015-06-23 04:00:00,Greenpoint,5.0,6.870128
420,2015-06-23 04:00:00,Greenwich Village,7.0,9.6394084
421,2015-06-23 04:00:00,Harlem,20.0,11.2807795
422,2015-06-23 04:00:00,Inwood,1.0,0.9390094999999999
423,2015-06-23 04:00:00,Jackson Heights,6.0,2.011216
424,2015-06-23 04:00:00,Jamaica,0.0,0.7091768
425,2015-06-23 04:00:00,Jamaica Hills,0.0,0.97526956
426,2015-06-23 04:00:00,John F. Kennedy International Airport,1.0,16.362478
427,2015-06-23 04:00:00,Kensington,0.0,0.6483385
